mode,threads,matrix_size,repetition,wall_time_ms,exit_code
threads,2,400,1,10.424,0
threads,2,800,1,83.572,0
threads,2,1600,1,672.905,0
threads,2,3200,1,5394.507,0
threads,2,6400,1,50653.278,0
threads,2,400,2,10.834,0
threads,2,800,2,85.258,0
threads,2,1600,2,680.029,0
threads,2,3200,2,5396.992,0
threads,2,6400,2,50537.935,0
threads,2,400,3,10.537,0
threads,2,800,3,83.687,0
threads,2,1600,3,678.083,0
threads,2,3200,3,5394.368,0
threads,2,6400,3,50996.548,0
threads,2,400,4,10.507,0
threads,2,800,4,83.718,0
threads,2,1600,4,666.271,0
threads,2,3200,4,5396.347,0
threads,2,6400,4,51110.168,0
threads,2,400,5,10.496,0
threads,2,800,5,85.165,0
threads,2,1600,5,677.674,0
threads,2,3200,5,5389.872,0
threads,2,6400,5,51379.869,0
threads,2,400,6,10.503,0
threads,2,800,6,83.623,0
threads,2,1600,6,678.429,0
threads,2,3200,6,5571.875,0
threads,2,6400,6,51465.041,0
threads,2,400,7,10.538,0
threads,2,800,7,83.549,0
threads,2,1600,7,677.794,0
threads,2,3200,7,5573.116,0
threads,2,6400,7,50651.810,0
threads,2,400,8,10.513,0
threads,2,800,8,83.817,0
threads,2,1600,8,665.971,0
threads,2,3200,8,5571.215,0
threads,2,6400,8,51094.009,0
threads,2,400,9,10.658,0
threads,2,800,9,85.242,0
threads,2,1600,9,665.947,0
threads,2,3200,9,5396.298,0
threads,2,6400,9,51356.119,0
threads,2,400,10,10.657,0
threads,2,800,10,83.834,0
threads,2,1600,10,665.945,0
threads,2,3200,10,5392.705,0
threads,2,6400,10,51299.363,0
